nombre;estilo;og;abv;ibu;color_srm;litros;publicada;autor;url
65 - Amber Ale;19A - American Amber Ale (BJCP 2015);1.051;5.21;30.5;16.832855812221705;40;2022-11-10;Lupo Craft Beer;https://www.brew-o-matic.com.ar/#/recipe/clone/65AmberAle-5c5c884f7de06f0004e90121-1559328956433
68 - Amber Ale (90);19A - American Amber Ale (BJCP 2015);1.048;4.9;30.9;16.770224337449076;90;2022-11-10;Lupo Craft Beer;https://www.brew-o-matic.com.ar/#/recipe/clone/68AmberAle90-5c5c884f7de06f0004e90121-1560196605822
71 - American Amber Ale;19A - American Amber Ale (BJCP 2015);1.056;5.72;11.7;16.265243525023187;90;2022-11-10;Lupo Craft Beer;https://www.brew-o-matic.com.ar/#/recipe/clone/81AmericanAmberAle90Hoppy-5c5c884f7de06f0004e90121-1562093390361
75 - American Amber Ale;19A - American Amber Ale (BJCP 2015);1.056;5.72;19.5;16.265243525023187;90;2022-11-10;Lupo Craft Beer;https://www.brew-o-matic.com.ar/#/recipe/clone/75AmericanAmberAle-5c5c884f7de06f0004e90121-1565638725758
80 - American Amber Ale;19A - American Amber Ale (BJCP 2015);1.054;5.52;19.9;16.644638715339518;90;2022-11-10;Lupo Craft Beer;https://www.brew-o-matic.com.ar/#/recipe/clone/75AmericanAmberAle-5c5c884f7de06f0004e90121-1567028786363
A.A.A;19A - American Amber Ale (BJCP 2015);1.056;5.5;26;15.681645426023524;43;2020-09-07;Rodrigo Otero;https://www.brew-o-matic.com.ar/#/recipe/clone/Jzjsjs-5c00bab0a7b42f00049f32eb-1597335541993
A.A.A. C.C.F.;19A - American Amber Ale (BJCP 2015);1.053;5.42;31.3;13.586475958258735;320;2019-10-06;Tío Fóforo;https://www.brew-o-matic.com.ar/#/recipe/clone/AAACCF-5939905ec02e1b1d009175e3-1570393439314
AAA;19A - American Amber Ale (BJCP 2015);1.046;4.52;34.1;12.982080683466704;35;2017-06-30;Valentin Aguilera;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA-574b8b0c0b7bed1d0086a620-1498842477787
AAA;19A - American Amber Ale (BJCP 2015);1.058;5.7;38.2;16.832855812221705;20;2018-02-01;Giuliano ollocco;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA-5a72852df582d91d00d1913f-1517469877308
AAA;19A - American Amber Ale (BJCP 2015);1.056;5.72;26.7;15.396331071955334;20;2018-02-03;Leandro Martín Lorenzo;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA-5a43cb29c4dd041d00fad1b7-1517677637295
AAA;19A - American Amber Ale (BJCP 2015);1.067;6.85;23.4;25.11062163760998;100;2018-12-07;Malmat - Juan Carlos Fobelli;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA-5245f7094b11374753000042-1543922403949
AAA;19A - American Amber Ale (BJCP 2015);1.053;5.42;30.6;13.119942973618706;40;2019-11-30;Sebastián Moulia;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA-5dc0c703f3c25800040e98ca-1575149830821
AAA;19A - American Amber Ale (BJCP 2015);1.051;5.21;25.4;15.35964318672664;800;2018-12-26;jesus alberto olivo;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA-5582e34edaa6c2a2760045b2-1545849782680
AAA;19A - American Amber Ale (BJCP 2015);1.052;5.31;30.8;24.65005372049539;20;2019-05-15;Aylen Canales;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA-5cdc50866921c900046014b0-1557946746363
AAA;19A - American Amber Ale (BJCP 2015);1.055;5.76;23.9;17.35945405483475;120;2020-10-23;sergio pascal;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA-5b0f5618085dca000486d7f0-1538482137233
AAA;19A - American Amber Ale (BJCP 2015);1.051;5.01;28;13.527436385052914;790;2020-05-17;Raul Andres Lionetti;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA-598d9f4e5ad2991d00d485e2-1572489146446
AAA;19A - American Amber Ale (BJCP 2015);1.054;5.52;27;14.007427663218301;85;2019-12-02;julian lespada;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA-53da7b439d4cb47b74006cd7-1556072568284
AAA;19A - American Amber Ale (BJCP 2015);1.056;5.72;30.4;11.170498949583132;20;2020-04-20;Federico Rampini;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA-5e97768bce477700047a038e-1587362473199
AAA;19A - American Amber Ale (BJCP 2015);1.061;6.23;30.1;17.585534528344187;50;2020-06-27;Türen Craft Bier;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA-5bf8b354c9c22a0004120a29-1593288202199
AAA;19A - American Amber Ale (BJCP 2015);1.06;6.13;20.4;15.190358601030908;20;2020-10-22;Lucas Chirino;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA-5f91a770f2605c00048048de-1603382756362
AAA;19A - American Amber Ale (BJCP 2015);1.063;6.44;34.3;19.752241592935817;60;2020-12-08;Daniel Malaszuk;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA-5f0ebded54dfc100048fe01b-1607468149751
AAA;19A - American Amber Ale (BJCP 2015);1.063;6.19;18.3;15.461455352197335;18;2021-07-17;Santiago Stalder;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA-5f358eee5933ee000418414f-1624906365154
AAA (Nueva);19A - American Amber Ale (BJCP 2015);1.054;5.52;39.4;17.624945232358403;35;2017-11-11;Meer Cerveza Artesanal;https://www.brew-o-matic.com.ar/#/recipe/clone/AAASimcoe-58e5a3d9def0661d002b559b-1510406363224
AAA - KARUN - 30l;19A - American Amber Ale (BJCP 2015);1.048;4.72;21.1;16.675172262802292;32;2024-08-14;Roly;https://www.brew-o-matic.com.ar/#/recipe/clone/AAAKARUN30l-5a032fe1bdbe371d00b671e2-1723641985556
AAA 02;19A - American Amber Ale (BJCP 2015);1.047;4.8;25.8;10.174689576717329;25;2018-11-28;Valentin Aguilera;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA02-574b8b0c0b7bed1d0086a620-1543437889317
AAA 02;19A - American Amber Ale (BJCP 2015);1.049;5.01;25.5;11.415606606858942;20;2019-04-03;Javier Rios;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA02-5b6b0a6b0989f00004bce202-1554330287831
AAA 2254;19A - American Amber Ale (BJCP 2015);1.05;5.11;29.9;10.206309642209662;26;2019-01-23;Valentin Aguilera;https://www.brew-o-matic.com.ar/#/recipe/clone/apa2254-574b8b0c0b7bed1d0086a620-1548256604938
AAA Aland;19A - American Amber Ale (BJCP 2015);1.056;6.02;32.2;8.370966379131538;35;2016-11-16;Martín Poujade;https://www.brew-o-matic.com.ar/#/recipe/clone/AAAAland-56e0ee56fddcfb1d00fece4d-1477672155999
AAA COYA 2;19A - American Amber Ale (BJCP 2015);1.05;5.31;28;14.47921067567922;30;2018-08-30;Charles;https://www.brew-o-matic.com.ar/#/recipe/clone/AAACOYA2-5b2c250ddeb20b000461433b-1535672544598
AAA Chinook;19A - American Amber Ale (BJCP 2015);1.056;5.72;38.8;11.463219387196188;60;2017-09-25;Foca Nunell;https://www.brew-o-matic.com.ar/#/recipe/clone/AAAChinook-524856044b113747530000fd-1506338546974
AAA DEL BLACK;19A - American Amber Ale (BJCP 2015);1.053;5.42;20.3;14.588642892785812;200;2019-05-24;Esteban Di Lello;https://www.brew-o-matic.com.ar/#/recipe/clone/AAADELBLACK-5aa07fba4fc6c0001d92bacf-1557434791208
AAA Di Legno;19A - American Amber Ale (BJCP 2015);1.058;5.93;11.8;11.851808054063422;100;2021-10-02;Bruno Valenzisi;https://www.brew-o-matic.com.ar/#/recipe/clone/AAADiLegno-609a9705d34db20004648afe-1633048574893
AAA ELLA;19A - American Amber Ale (BJCP 2015);1.062;6.09;29.6;11.857462121387671;50;2018-02-24;Diego Rodríguez;https://www.brew-o-matic.com.ar/#/recipe/clone/AAAELLA-581129c46ef58d1d0037acce-1519500033549
AAA LUVIC;19A - American Amber Ale (BJCP 2015);1.052;5.31;17.5;13.90732789210415;52;2018-10-16;Gustavo Adrian Courtade;https://www.brew-o-matic.com.ar/#/recipe/clone/AAALUVIC-57d180f290fff11d003a8ab4-1534004224042
AAA LUVIC 2;19A - American Amber Ale (BJCP 2015);1.05;5.11;18.4;14.21359206376889;50;2018-10-16;Gustavo Adrian Courtade;https://www.brew-o-matic.com.ar/#/recipe/clone/AAALUVIC2-57d180f290fff11d003a8ab4-1538579246658
AAA LorenzBier;19A - American Amber Ale (BJCP 2015);1.051;5.21;30.6;17.557922955525132;50;2022-05-13;Mauro Lorenzotti;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA-5ad45a1f672c62001d781896-1652019614653
AAA Victoria;19A - American Amber Ale (BJCP 2015);1.046;4.52;31.3;10.311387805930877;30;2018-07-22;Valentin Aguilera;https://www.brew-o-matic.com.ar/#/recipe/clone/AAAVictoria-574b8b0c0b7bed1d0086a620-1532281620572
AAA Victoria 02;19A - American Amber Ale (BJCP 2015);1.049;5.01;26.8;11.11517293558355;25.3;2019-09-03;Valentin Aguilera;https://www.brew-o-matic.com.ar/#/recipe/clone/AAAVictoria02-574b8b0c0b7bed1d0086a620-1567521519479
AAA ZEUS;19A - American Amber Ale (BJCP 2015);1.06;6.13;35.5;11.989371240566559;40;2017-11-14;vichucha;https://www.brew-o-matic.com.ar/#/recipe/clone/AAAZEUS-597a64f5a05d161d00d86896-1507848874094
AAA concurso LOC Mariano Heredia Cerveza Sur 10 2019;19A - American Amber Ale (BJCP 2015);1.042;4.29;27.8;14.608317140650463;55;2019-10-14;cerveza sur;https://www.brew-o-matic.com.ar/#/recipe/clone/AAAconcursoLOC-5b1da0672c407c00040a0ce0-1571055518249
AAA del black;19A - American Amber Ale (BJCP 2015);1.051;5.21;30.5;14.33506636794804;50;2018-09-01;Esteban Di Lello;https://www.brew-o-matic.com.ar/#/recipe/clone/Stout-5aa07fba4fc6c0001d92bacf-1524000351085
AAA karun;19A - American Amber Ale (BJCP 2015);1.044;4.5;20.5;15.255229911975654;250;2024-05-06;Roly;https://www.brew-o-matic.com.ar/#/recipe/clone/scotch-5a032fe1bdbe371d00b671e2-1619487441016
AAA lopez rega;19A - American Amber Ale (BJCP 2015);1.056;5.72;37.4;11.879493492318309;60;2020-07-25;Elias Ripa;https://www.brew-o-matic.com.ar/#/recipe/clone/AAAbyLaBartola-5f162bf81fc4aa0004620f46-1595349921709
AAA noviembre 2023;19A - American Amber Ale (BJCP 2015);1.045;4.42;20.5;13.433811730083983;102;2023-09-20;adrian rivarola;https://www.brew-o-matic.com.ar/#/recipe/clone/AAAnoviembre2023-56ea9071ecdaab1d00a5e08f-1695228776633
AAA yavorai;19A - American Amber Ale (BJCP 2015);1.053;5.42;25;14.262238623308274;20;2020-04-16;Gabo;https://www.brew-o-matic.com.ar/#/recipe/clone/AAAyavorai-5d0247c63423820004600737-1587050913576
AAA! Dell Vone´T/Harpirus;19A - American Amber Ale (BJCP 2015);1.048;4.72;26.1;14.43946051409585;400;2023-11-24;leo vazquez;https://www.brew-o-matic.com.ar/#/recipe/clone/AAADellVoneTHarpirus-58910249278b7a1d00bff5d0-1700846819780
AAA2;19A - American Amber Ale (BJCP 2015);1.06;6.13;21.4;11.595778226571623;200;2019-11-28;Nicolas Monzon;https://www.brew-o-matic.com.ar/#/recipe/clone/AAA2-554fe4923ae611045f00001a-1477619141365
AAAh...;19A - American Amber Ale (BJCP 2015);1.05;5.24;22.4;12.153329308450232;40;2019-06-09;Gabriel Paz;https://www.brew-o-matic.com.ar/#/recipe/clone/AAAh-5998eb317be5d01d0036b5d5-1560122825826
AAAstrong;19A - American Amber Ale (BJCP 2015);1.052;4.77;22.7;13.744478498866707;100;2019-04-27;juan andres fuertes;https://www.brew-o-matic.com.ar/#/recipe/clone/AAAstrong-577f8276cda5941d00efd324-1556367049212
AMBAR ALE 504;19A - American Amber Ale (BJCP 2015);1.048;4.72;10.8;12.68916465811542;45;2017-05-07;Ariel San Martin;https://www.brew-o-matic.com.ar/#/recipe/clone/RedALE504-57778f3e97813d1d00414684-1494127773446
AMBER;19A - American Amber Ale (BJCP 2015);1.054;5.31;23.4;16.44595590466555;300;2021-09-15;COSME FABRICA;https://www.brew-o-matic.com.ar/#/recipe/clone/AMBER-5f15dc685e05f700044e753f-1631616207812
AMBER 2;19A - American Amber Ale (BJCP 2015);1.052;5.31;21.7;13.926234595560807;45;2024-12-12;daniel maravilla;https://www.brew-o-matic.com.ar/#/recipe/clone/AMBER2-5b81f1081738500004130ff5-1711332064072
AMBER 2;19A - American Amber Ale (BJCP 2015);1.042;4.29;23.6;13.980788081269859;45;2025-02-03;marcela;https://www.brew-o-matic.com.ar/#/recipe/clone/AMBER2-67a00f88bda6f5eb9b409a12-1738547160250
AMBER ALE;19A - American Amber Ale (BJCP 2015);1.061;5.99;24.2;14.624703082574825;25;2020-10-07;Linneo;https://www.brew-o-matic.com.ar/#/recipe/clone/-5f3de6ba74d892000489e1cc-1602099149000
AMERICAN AMBER CARDOSO;19A - American Amber Ale (BJCP 2015);1.06;6.13;23.2;15.862465803557349;20;2026-07-01;Anabel Cardoso;https://www.brew-o-matic.com.ar/#/recipe/clone/AMERICANLAGERCARDOSO-6a4543ee4440cd2b73a30b39-1782925887305
APA Ambar;19A - American Amber Ale (BJCP 2015);1.049;4.81;20.2;9.16486183138167;28.5;2019-10-19;Ja17R R;https://www.brew-o-matic.com.ar/#/recipe/clone/APARED-5953c23a38f5931d0089befd-1570307029087
Ambar de las Misiones;19A - American Amber Ale (BJCP 2015);1.064;6.54;15.2;12.863117287687453;40;2017-06-06;Alan Lakousky;https://www.brew-o-matic.com.ar/#/recipe/clone/AmbardelasMisiones-592ec4d46715da1d007d3f22-1496242822530
Ambar del Sur;19A - American Amber Ale (BJCP 2015);1.052;5.31;49.3;7.247025219821347;35;2017-04-01;Claudio Fredes;https://www.brew-o-matic.com.ar/#/recipe/clone/AmbardelSur-56c714677a7d801d002439bc-1484453076045
Ambar del Sur;19A - American Amber Ale (BJCP 2015);1.052;5.31;49.3;7.247025219821347;35;2020-11-26;Sebastian Ponce Reyes;https://www.brew-o-matic.com.ar/#/recipe/clone/AmbardelSur-5fb88f35b52c74000431487e-1606365017039
Amber;19A - American Amber Ale (BJCP 2015);1.059;5.8;28.5;17.040654761074705;50;2017-09-22;Lucas Blanco;https://www.brew-o-matic.com.ar/#/recipe/clone/Amber-5908a49e45cafa1d004e48ee-1506094276342
Amber Ale;19A - American Amber Ale (BJCP 2015);1.042;4.29;24.9;11.102449644705532;30;2017-10-01;Márcio Monks;https://www.brew-o-matic.com.ar/#/recipe/clone/AmberAle-59d11e48b29b4d1d00144389-1506878187180
Amber Ale;19A - American Amber Ale (BJCP 2015);1.047;4.62;25.9;10.451931942475612;90;2019-05-03;Javier Santillan;https://www.brew-o-matic.com.ar/#/recipe/clone/AmberAle-5b2a87c8d0492c0004120643-1556828594625
Amber Ale;19A - American Amber Ale (BJCP 2015);1.049;4.81;5.2;9.807750181051686;260;2024-09-24;Sergio;https://www.brew-o-matic.com.ar/#/recipe/clone/AmberAle-59d6f7da3db2ac1d005b23e6-1727216102522
Amber Ale #20;19A - American Amber Ale (BJCP 2015);1.05;5.24;30.9;13.713406362280582;65;2022-11-20;Rodrigo Herrán;https://www.brew-o-matic.com.ar/#/recipe/clone/AmberAle10-592cb7ab6715da1d007b633e-1571336461533
Amber Ale Abril 2022;19A - American Amber Ale (BJCP 2015);1.048;4.9;9.3;16.697861314964904;1000;2021-10-08;Liefeld Cerveceria Ok;https://www.brew-o-matic.com.ar/#/recipe/clone/AmberAleJulio2021-5b7dfa49405e43000496b210-1624384602814
Amber Ale Arg;19A - American Amber Ale (BJCP 2015);1.062;6.34;30.5;16.665272297944686;160;2017-05-24;Mr Electro;https://www.brew-o-matic.com.ar/#/recipe/clone/AmberAleArg-5908a6d245cafa1d004e4909-1495609959548
Amber Ale Bingen;19A - American Amber Ale (BJCP 2015);1.061;6.23;0;15.615624882828655;480;2022-09-27;;https://www.brew-o-matic.com.ar/#/recipe/clone/AmberAleBingen-5cc5afc1b236150004a33b28-1651242636627
Amber Ale Chacu;19A - American Amber Ale (BJCP 2015);1.047;4.62;25.2;11.81748239537244;24;2018-05-15;carlos ruben Blanco;https://www.brew-o-matic.com.ar/#/recipe/clone/AmberAleChacu-5ae68581108fe600043ce5e2-1526345531919
Amber Ale Moldes 2015;19A - American Amber Ale (BJCP 2015);1.055;5.4;29.2;12.251219255274709;100;2017-11-05;agus vilas;https://www.brew-o-matic.com.ar/#/recipe/clone/GoldenMoldes2010-592f85c82818cc1d00db204d-1509885657814
Amber Americana Tropical;19A - American Amber Ale (BJCP 2015);1.058;5.93;32.6;13.586475958258731;21;2016-09-19;Rolando Sanchez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmberAmericanaTropical-5355d0613a6a5df2680013d8-1467949428930
Amber Brotherhood;19A - American Amber Ale (BJCP 2015);1.058;5.7;25;12.958509448199006;200;2019-12-27;Emmanuel Videla;https://www.brew-o-matic.com.ar/#/recipe/clone/Amber200-59429a2017b6a61d005fd42f-1576865505278
Amber CZ;19A - American Amber Ale (BJCP 2015);1.053;5.42;38;14.728054699735472;47;2017-02-28;Mariano Bisbal;https://www.brew-o-matic.com.ar/#/recipe/clone/AmberCZ-5469f50ad115c4137e00ec11-1486511457580
Amber CZ;19A - American Amber Ale (BJCP 2015);1.053;5.42;38;14.728054699735472;47;2017-03-19;Mariano Bisbal;https://www.brew-o-matic.com.ar/#/recipe/clone/AmberCZ-572e40227f4e0a1d005d72ab-1488304269729
Amber Cautiva;19A - American Amber Ale (BJCP 2015);1.056;5.72;26.2;12.574971551981147;250;2024-10-16;facundo;https://www.brew-o-matic.com.ar/#/recipe/clone/AmberCautiva-5ae47ea45fd0430004d0d174-1729081851166
Amber Chaco;19A - American Amber Ale (BJCP 2015);1.059;6.03;25.6;16.293837994263537;100;2024-03-04;;https://www.brew-o-matic.com.ar/#/recipe/clone/AmberChaco-5db1c6eb3b8beb000468edab-1708869133782
Amber Malta Brava;19A - American Amber Ale (BJCP 2015);1.06;6.13;23.5;15.0424494053567;60;2023-01-23;José Genovés;https://www.brew-o-matic.com.ar/#/recipe/clone/-63ac190c97804f13e3cb0412-1673662006018
Amber Nakama 2026;19A - American Amber Ale (BJCP 2015);1.045;4.6;17.7;10.521880067391269;90;2025-05-06;Matias Oviedo;https://www.brew-o-matic.com.ar/#/recipe/clone/autorojo-652f0e52de480cdcbdea2d5d-1727276434885
Amber Red Ipa Bosco;19A - American Amber Ale (BJCP 2015);1.051;5.01;19.1;17.837372073478807;130;2020-09-05;Andres Sanchez;https://www.brew-o-matic.com.ar/#/recipe/clone/IrishRedBOSCO-5a0a4a7eb8137f1d000c0b6d-1599340478242
American Ambar Ale;19A - American Amber Ale (BJCP 2015);1.059;6.03;0;16.293837994263537;300;2024-04-15;Mario Rozas Poblete;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmbarAle-6616ac970c4a31ac12e0b016-1712764511155
American Amber Ale;19A - American Amber Ale (BJCP 2015);1.05;5.11;31.6;12.897071503415075;30;2017-08-22;Francisco Di Persia;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAle-551235000fd4e49e1c000771-1498316778963
American Amber Ale;19A - American Amber Ale (BJCP 2015);1.054;5.31;26.8;13.7846205943221;50;2016-12-06;Ignacio Pastore Benaim;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAle-56ac29584e353e1d00cab261-1480992627585
American Amber Ale;19A - American Amber Ale (BJCP 2015);1.051;5.01;25.1;14.3670128843144;110;2019-11-04;Emiliano Martino;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAle-5a43b4c3c4dd041d00fad0ee-1525443905385
American Amber Ale;19A - American Amber Ale (BJCP 2015);1.051;5.34;38.3;14.899827305200661;25;2019-01-30;Miguel  angel pebtz;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAle-58518abb664f2f1d00a3393e-1548807347763
American Amber Ale;19A - American Amber Ale (BJCP 2015);1.046;4.7;21.3;12.554849501541002;80;2020-01-14;Quiroga Nicolas;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAle-5a7d83b67063361d008d81b5-1577115531572
American Amber Ale;19A - American Amber Ale (BJCP 2015);1.057;5.82;29.7;15.138665699685328;20;2020-10-13;Justo griguoli;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAle-5f452671f4814f0004845317-1602537311867
American Amber Ale;19A - American Amber Ale (BJCP 2015);1.055;5.62;27.1;16.216580011475653;25;2026-03-13;Claudio Venegas;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAle-6360aefb780324bd5d4e2b02-1671416742725
American Amber Ale (AAA);19A - American Amber Ale (BJCP 2015);1.053;5.21;25.3;14.42435238581201;20;2022-02-16;Alberto Iscara;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleAAA-5dcd7a03850fae00048072a9-1645027768096
American Amber Ale -Jaguel;19A - American Amber Ale (BJCP 2015);1.056;5.72;33.8;13.773744880832032;210;2021-01-08;Sergio Perez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleJaguel-5916535c7ea1461d00580613-1514872887689
American Amber Ale -Jaguel 20 Abril 18;19A - American Amber Ale (BJCP 2015);1.05;5.11;35.5;13.991249247097246;210;2021-01-08;Sergio Perez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleJaguel20Abril18-5916535c7ea1461d00580613-1524170617681
American Amber Ale -Jaguel Abril 18;19A - American Amber Ale (BJCP 2015);1.05;5.11;35.5;12.9819296482394;210;2021-01-08;Sergio Perez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleJaguelAbril18-5916535c7ea1461d00580613-1523378612441
American Amber Ale -Jaguel DICIEMBRE 18;19A - American Amber Ale (BJCP 2015);1.048;4.9;8.7;12.57424009948243;220;2021-01-08;Sergio Perez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleJaguelDICIEMBRE18-5916535c7ea1461d00580613-1545362021350
American Amber Ale -Jaguel FEB2022;19A - American Amber Ale (BJCP 2015);1.054;5.52;0;16.486253906742906;280;2022-02-02;Sergio Perez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleJaguelFEB2022-5916535c7ea1461d00580613-1643840973103
American Amber Ale -Jaguel FEB2023;19A - American Amber Ale (BJCP 2015);1.048;4.9;14.8;13.374933573625228;280;2023-12-16;Sergio Perez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleJaguelFEB2023-5916535c7ea1461d00580613-1678227418286
American Amber Ale -Jaguel Julio 2022;19A - American Amber Ale (BJCP 2015);1.055;5.62;10.6;14.20685372332363;280;2025-01-11;Sergio Perez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleJaguelFEB2022-5916535c7ea1461d00580613-1657192980707
American Amber Ale -Jaguel MARZO 2021;19A - American Amber Ale (BJCP 2015);1.054;5.52;0;16.510613999657178;280;2021-07-13;Sergio Perez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleJaguelMARZO2021-5916535c7ea1461d00580613-1616018627517
American Amber Ale -Jaguel dic 2020 lote 1;19A - American Amber Ale (BJCP 2015);1.05;5.11;0;16.56131141974741;280;2021-01-08;Sergio Perez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleJagueldic2020lote1-5916535c7ea1461d00580613-1606697160918
American Amber Ale -Jaguel dic 2020 lote 2;19A - American Amber Ale (BJCP 2015);1.05;5.11;6.5;14.316442095161905;280;2021-01-08;Sergio Perez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleJagueldic2020lote2-5916535c7ea1461d00580613-1606697277379
American Amber Ale -Jaguel dic18 real;19A - American Amber Ale (BJCP 2015);1.055;5.62;7.8;12.196643863615943;230;2021-01-08;Sergio Perez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleJagueldic18real-5916535c7ea1461d00580613-1548028246366
American Amber Ale -Jaguel julio 2020;19A - American Amber Ale (BJCP 2015);1.05;4.91;13.2;12.104903788315848;250;2021-01-08;Sergio Perez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleJagueljulio2020-5916535c7ea1461d00580613-1594219288077
American Amber Ale -Jaguel julio 2020;19A - American Amber Ale (BJCP 2015);1.045;4.42;6.9;14.316442095161909;280;2021-01-08;Sergio Perez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleJagueljulio2020-5916535c7ea1461d00580613-1606605907380
American Amber Ale -Jaguel julio 2021;19A - American Amber Ale (BJCP 2015);1.054;5.52;0;16.58764600444588;280;2021-07-13;Sergio Perez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleJagueljulio2021-5916535c7ea1461d00580613-1624410718732
American Amber Ale -Jaguel junio19;19A - American Amber Ale (BJCP 2015);1.052;5.31;7.4;11.759415323304165;125;2021-01-08;Sergio Perez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleJagueljunio19-5916535c7ea1461d00580613-1558663721739
American Amber Ale -Jaguel sep 2021;19A - American Amber Ale (BJCP 2015);1.054;5.52;0;16.58764600444588;280;2022-02-02;Sergio Perez;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleJaguelsep2021-5916535c7ea1461d00580613-1631406793984
American Amber Ale -PARADIGMA- 9/9/2017;19A - American Amber Ale (BJCP 2015);1.056;5.72;33.8;13.69306455700776;80;2017-10-19;Facundo Koss -PARADIGMA-;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAlePARADIGMAUltimacorreccin-5626e7ee8257e7d9729dfebf-1504542935429
American Amber Ale 2018;19A - American Amber Ale (BJCP 2015);1.055;5.62;30.6;20.0630011685231;24;2018-12-25;adrian rivarola;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAle2018-56ea9071ecdaab1d00a5e08f-1545780851632
American Amber Ale 20Lts;19A - American Amber Ale (BJCP 2015);1.05;5.11;29.7;17.86522242377869;26.5;2019-08-01;Ramiro Ezequiel Frias;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAle20Lts-5bcd0692e152e600049198f7-1559015863990
American Amber Ale FIN 2017;19A - American Amber Ale (BJCP 2015);1.054;5.52;24.7;14.649664742745049;44.5;2017-12-17;Gustavo Adrian Courtade;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleFIN2017-57d180f290fff11d003a8ab4-1513555069643
American Amber Ale Magistic;19A - American Amber Ale (BJCP 2015);1.047;3.69;19;15.915956763214862;40;2018-11-08;Peco;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAleMagistic-5a2dd067d392f71d007935a0-1532816104075
American Amber Ale SILO;19A - American Amber Ale (BJCP 2015);1.057;5.82;30.3;12.153329308450232;20;2021-02-02;Sebastian Nuñez Szymanski;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAle-553e99647111039c4500006a-1612281876781
American Amber Ale de las pi;19A - American Amber Ale (BJCP 2015);1.046;4.7;25;13.003821364371944;70;2018-10-08;Yoli Solari Sala;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmberAledelaspi-57336beeeb81bd1d0056e13f-1539003401463
American Amber PE;19A - American Amber Ale (BJCP 2015);1.049;5.01;31.8;16.63331474513767;90;2023-07-06;Ricardo Isern;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanAmber-5ea8a61df8408900048bfb6a-1677596694667
Apa;19A - American Amber Ale (BJCP 2015);1.06;5.9;34.4;11.264527342147568;22;2021-12-03;Ruben Dario Mensi;https://www.brew-o-matic.com.ar/#/recipe/clone/Apa-58405de857af8e1d0020942a-1638558862342
